GID,IDENT,HEURE,TYPEVOIE,ETAT
15,MB333.D1,20171014031623,N230,FLUIDE
16,MB333.e1,20171014031623,N230,FLUIDE
17,MB233.V1,20171014031623,N230,FLUIDE
18,MBG33.n1,20171014031623,N230,FLUIDE
19,MBG33.N1,20171014031623,N230,FLUIDE
20,MB333.M1,20171014031623,N230,FLUIDE
21,MBG33.R1,20171014031623,N230,FLUIDE
22,MB333.L1,20171014031623,N230,FLUIDE
23,MBG33.T1,20171014031623,N230,FLUIDE
24,MBG33.V1,20171014031623,N230,FLUIDE
25,MBG33.Y1,20171014031623,N230,FLUIDE
26,MB233.L1,20171014031623,A630,FLUIDE
27,MB233.N1,20171014031623,A630,FLUIDE
28,MB233.Q1,20171014031623,A630,FLUIDE
29,MB233.R1,20171014031623,A630,FLUIDE
30,MB333.V1,20171014031623,A630,FLUIDE
31,MB333.Y1,20171014031623,A630,FLUIDE
32,MB333.K1,20171014031623,A630,FLUIDE
33,MB333.X1,20171014031623,A630,FLUIDE
34,MB233.B1,20171014031623,A630,FLUIDE
35,MB333.W1,20171014031623,A630,FLUIDE
36,MB133.L1,20171014031623,A630,FLUIDE
37,MB333.B1,20171014031623,A630,FLUIDE
38,MB233.D1,20171014031623,A630,FLUIDE
39,MB333.j1,20171014031623,A630,FLUIDE
40,MB133.K1,20171014031623,A630,FLUIDE
41,MB233.t1,20171014031623,A630,FLUIDE
42,MB233.T1,20171014031623,A630,FLUIDE
43,MB333.J1,20171014031623,A630,INCONNU
44,MB333.N1,20170524090000,A630,INCONNU
45,MB233.H1,20171014031623,A630,FLUIDE
46,MB133.J1,20171014031623,A630,FLUIDE
47,MB233.j1,20171014031623,A630,FLUIDE
48,MB233.x1,20171014031623,A630,INCONNU
49,MB133.j1,20171014031623,A630,FLUIDE
50,MB233.Y1,20171014031623,A630,FLUIDE
51,MB333.I1,20171014031623,A630,FLUIDE
52,MB333.h1,20171014031623,A630,FLUIDE
53,MB133.I1,20171014031623,A630,FLUIDE
54,MB233.w1,20171014031623,A630,FLUIDE
55,MB233.Z1,20171014031623,A630,FLUIDE
56,MB233.X1,20171014031623,A630,FLUIDE
57,MB333.a1,20171014031623,A630,FLUIDE
58,MB333.a7,20171014031623,A630,FLUIDE
59,MB333.H1,20171014031623,A630,FLUIDE
60,MB233.U1,20171014031623,A630,FLUIDE
61,MB233.W1,20171014031623,A630,FLUIDE
62,MB333.A1,20171014031623,A630,FLUIDE
63,MB333.f1,20170524090000,A630,INCONNU
64,MB333.E1,20171014031623,A630,FLUIDE
65,MB333.G1,20171014031623,A630,FLUIDE
66,MBG33.M3,20171014031623,N230,FLUIDE
67,MB133.Y1,20171014031623,A62,FLUIDE
68,MB133.P1,20170524090000,A62,INCONNU
69,MB233.z1,20171014031623,A630,FLUIDE
70,MB333.P2,20170524090000,A631,INCONNU
71,MBg33.A6,20170524090000,A630,INCONNU
72,MB333.O2,20171014031623,A631,FLUIDE
73,MB333.t2,20171014031623,A63,FLUIDE
74,MB333.c2,20170524090000,A63,INCONNU
75,MB333.T2,20171014031623,A63,FLUIDE
76,MB133.X2,20171014031623,A630,FLUIDE
77,MB133.O2,20171014031623,A62,FLUIDE
78,MB133.Y2,20171014031623,A62,FLUIDE
79,MB333.S2,20171014031623,A62,FLUIDE
80,MB333.S4,20170524090000,A62,INCONNU
81,MB333.R3,20171014031623,A62,FLUIDE
82,MB333.R2,20171014031623,A62,FLUIDE
83,MB233.M2,20171014031623,A630,FLUIDE
84,MB233.N2,20171014031623,A630,FLUIDE
85,MB233.t6,20170524090000,A630,INCONNU
86,MB333.I2,20171014031623,A630,FLUIDE
87,MB333.h2,20171014031623,A630,FLUIDE
1,MB333.o1,20170524090000,A631,INCONNU
2,MB333.p1,20171014031623,A631,FLUIDE
3,MBg33.A5,20170524090000,A631,INCONNU
4,MB333.t1,20171014031623,A63,FLUIDE
5,MB333.T1,20171014031623,A63,FLUIDE
6,MB333.C1,20171014031623,A63,FLUIDE
7,MB133.O1,20171014031623,A62,FLUIDE
8,MB133.Y3,20170524090000,A62,INCONNU
9,MB333.S1,20171014031623,A62,FLUIDE
10,MB333.S3,20170524090000,A62,INCONNU
11,MB333.R4,20171014031623,A62,FLUIDE
12,MB333.R1,20171014031623,A62,FLUIDE
13,MBg33.A1,20171014031623,A630,FLUIDE
14,MB233.M1,20171014031623,A630,FLUIDE
110,MBG33.Y2,20171014031623,N230,FLUIDE
111,MB233.L2,20171014031623,A630,FLUIDE
112,MB233.P2,20170524090000,A630,INCONNU
113,MB233.R2,20171014031623,A630,FLUIDE
114,MB333.V2,20171014031623,A630,FLUIDE
115,MB333.Y2,20171014031623,A630,FLUIDE
116,MB333.k2,20170524090000,A630,INCONNU
117,MB333.X2,20171014031623,A630,FLUIDE
118,MB233.B2,20171014031623,A630,FLUIDE
119,MB333.W2,20171014031623,A630,FLUIDE
120,MB133.L2,20171014031623,A630,FLUIDE
121,MB333.b2,20170524090000,A630,INCONNU
122,MB233.D2,20171014031623,A630,FLUIDE
123,MB333.j2,20171014031623,A630,FLUIDE
124,MB133.K2,20171014031623,A630,FLUIDE
125,MB233.t4,20170524090000,A630,INCONNU
126,MB233.T2,20171014031623,A630,FLUIDE
127,MB233.z2,20171014031623,A630,FLUIDE
128,MB233.H2,20170524090000,A630,INCONNU
129,MB133.J2,20171014031623,A630,FLUIDE
130,MB233.j2,20171014031623,A630,FLUIDE
131,MB233.y2,20170524090000,A630,INCONNU
132,MB133.j2,20171014031623,A630,FLUIDE
133,MB233.Y2,20171014031623,A630,FLUIDE
134,MB333.J2,20171014031623,A630,INCONNU
136,MBg33.A2,20171014031623,,FLUIDE
137,MBG33.T2,20171014031623,,FLUIDE
138,T01,20171014031500,BOULEVARDS,FLUIDE
139,T02,20171014031500,BOULEVARDS,FLUIDE
140,T03,20171014031500,BOULEVARDS,FLUIDE
141,T04,20171014031500,BOULEVARDS,FLUIDE
142,T05,20171014031500,BOULEVARDS,FLUIDE
143,T06,20171014031500,BOULEVARDS,FLUIDE
144,T07,20171014031500,BOULEVARDS,FLUIDE
145,T08,20171014031500,BOULEVARDS,FLUIDE
146,T09,20171014031500,BOULEVARDS,FLUIDE
147,T10,20171014031500,BOULEVARDS,FLUIDE
148,T11,20171014031500,BOULEVARDS,FLUIDE
149,T12,20171014031500,BOULEVARDS,FLUIDE
150,T13,20171014031500,BOULEVARDS,FLUIDE
151,T14,20171014031500,BOULEVARDS,FLUIDE
152,T15,20171014031500,BOULEVARDS,FLUIDE
153,T16,20171014031500,BOULEVARDS,FLUIDE
154,T17,20171014031500,BOULEVARDS,FLUIDE
155,T18,20171014031500,BOULEVARDS,FLUIDE
156,T50,20171014031500,BOULEVARDS,FLUIDE
157,T51,20171014031500,BOULEVARDS,FLUIDE
158,T52,20171014031500,BOULEVARDS,FLUIDE
159,T53,20171014031500,BOULEVARDS,FLUIDE
160,T54,20171014031500,BOULEVARDS,FLUIDE
161,T55,20171014031500,BOULEVARDS,FLUIDE
162,T56,20171014031500,BOULEVARDS,FLUIDE
163,T57,20171014031500,BOULEVARDS,FLUIDE
164,T58,20171014031500,BOULEVARDS,FLUIDE
165,T59,20171014031500,BOULEVARDS,FLUIDE
166,T60,20171014031500,BOULEVARDS,FLUIDE
167,T61,20171014031500,BOULEVARDS,FLUIDE
168,T62,20171014031500,BOULEVARDS,FLUIDE
169,T63,20171014031500,BOULEVARDS,FLUIDE
170,T64,20171014031500,BOULEVARDS,FLUIDE
171,T65,20171014031500,BOULEVARDS,FLUIDE
